GROUP,CONAME,DIST,DISTNAME,DE120,DE220,DE320,DE420
D. K-8 / 751 +,MONMOUTH,3030,MARLBORO TWP,7871631,5311361,13182992,208301
D. K-8 / 751 +,MONMOUTH,3200,MILLSTONE TWP,1085947,506265,1592212,405527
D. K-8 / 751 +,MONMOUTH,4360,RED BANK BORO,1036635,155602,1192237,392931
D. K-8 / 751 +,MONMOUTH,4570,RUMSON BORO,1770638,614544,2385182,-187313
D. K-8 / 751 +,MONMOUTH,5185,TINTON FALLS,9354155,1116766,10470921,524077
D. K-8 / 751 +,MORRIS,820,CHESTER TWP,2535057,1483052,4018109,539370
D. K-8 / 751 +,MORRIS,1090,DENVILLE TWP,720451,1360461,2080912,883312
D. K-8 / 751 +,MORRIS,1190,EAST HANOVER TWP,1725154,725445,2450599,168468
D. K-8 / 751 +,MORRIS,1530,FLORHAM PARK BORO,962612,503331,1465943,257136
D. K-8 / 751 +,MORRIS,2000,HANOVER TWP,1673116,688420,2361536,-255920
D. K-8 / 751 +,MORRIS,2650,LINCOLN PARK BORO,2154138,984703,3138841,-247911
D. K-8 / 751 +,MORRIS,4000,LONG HILL TWP,1738513,724517,2463030,144970
D. K-8 / 751 +,MORRIS,4490,ROCKAWAY TWP,3010761,2824169,5834930,3098094
D. K-8 / 751 +,MORRIS,5520,WASHINGTON TWP,3390017,-23767,3366250,79668
D. K-8 / 751 +,MORRIS,5770,WHARTON BORO,1630239,1198517,2828756,1711170
D. K-8 / 751 +,PASSAIC,1920,HALEDON BORO,3030487,935743,3966230,400782
D. K-8 / 751 +,PASSAIC,2700,LITTLE FALLS TWP,1779311,468622,2247933,251388
D. K-8 / 751 +,PASSAIC,4270,PROSPECT PARK BORO,3721096,327904,4049000,-238160
D. K-8 / 751 +,PASSAIC,4400,RINGWOOD BORO,1508875,658523,2167398,912815
D. K-8 / 751 +,PASSAIC,5200,TOTOWA BORO,2820743,303896,3124639,433285
D. K-8 / 751 +,PASSAIC,5440,WANAQUE BORO,1427072,58261,1485333,139640
D. K-8 / 751 +,PASSAIC,5690,WOODLAND PARK,1343254,121998,1465252,33115
D. K-8 / 751 +,SOMERSET,510,BRANCHBURG TWP,3541398,1640784,5182182,556748
D. K-8 / 751 +,SOMERSET,1810,GREEN BROOK TWP,1280182,1434987,2715169,785345
