GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,E11,E21,E31,ABBOTT
C. K-8 / 401 - 750,MONMOUTH,3830,OCEANPORT BORO,13332,31,15181,46,14441,33,647,577,634,
C. K-8 / 401 - 750,MONMOUTH,4770,SHREWSBURY BORO,13973,40,14293,37,14558,35,483,478,493,
C. K-8 / 401 - 750,MONMOUTH,5230,UNION BEACH,11436,15,12322,20,13367,20,725,677,666,
C. K-8 / 401 - 750,MONMOUTH,5640,WEST LONG BRANCH BORO,13549,35,14003,33,15168,40,602,600,603,
C. K-8 / 401 - 750,MORRIS,460,BOONTON TWP,13115,29,14485,38,14793,38,490,482,481,
C. K-8 / 401 - 750,MORRIS,3090,MENDHAM BORO,11969,18,12859,21,13661,26,667,647,642,
C. K-8 / 401 - 750,MORRIS,3100,MENDHAM TWP,15459,56,16318,58,16097,49,799,786,825,
C. K-8 / 401 - 750,MORRIS,3380,MORRIS PLAINS BORO,13938,39,14246,36,14542,34,618,615,658,
C. K-8 / 401 - 750,MORRIS,4480,ROCKAWAY BORO,10425,4,10139,1,11398,7,658,659,668,
C. K-8 / 401 - 750,OCEAN,2500,LAKEHURST BORO,11984,19,12258,19,12628,16,421,414,434,
C. K-8 / 401 - 750,PASSAIC,420,BLOOMINGDALE BORO,15323,54,15506,51,17909,59,612,615,601,
C. K-8 / 401 - 750,PASSAIC,3640,NORTH HALEDON BORO,10976,9,11029,7,11327,6,702,729,742,
C. K-8 / 401 - 750,SOMERSET,240,BEDMINSTER TWP,16203,61,15450,50,16157,50,571,589,569,
C. K-8 / 401 - 750,SOMERSET,4850,SOUTH BOUND BROOK,12030,20,12943,23,14819,39,463,450,441,
C. K-8 / 401 - 750,SOMERSET,5540,WATCHUNG BORO,13394,33,12885,22,13302,19,681,721,752,
C. K-8 / 401 - 750,SUSSEX,90,ANDOVER REG,14797,48,14709,41,14574,36,609,610,620,
