GROUP,CONAME,DIST,DISTNAME,pp3vv,stpct01vv,ltpct01vv,fdpct01vv,tupct01vv,fbpct01vv,otpct01vv,strat01vv,ssrat01vv,sarat01vv,pctsevv
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,15623,0.468,0.444,0.086,0.002,0,0,11.1,134,134,0.052
D. K-8 / 751 +,CUMBERLAND,5300,UPPER DEERFIELD TWP,16844,0.441,0.431,0.125,0.002,0,0.001,11.6,62.5,157.3,0.138
G. K-12 / 3501 +,CUMBERLAND,5390,VINELAND CITY,17843,0.746,0.113,0.136,0.005,0,0,11.1,62.4,172.5,0.139
K. CHARTER,CUMBERLAND,6028,VINELAND PUBLIC CHARTER SCHOOL,10710,0.093,0.669,0.238,0,0,0,14.9,101,42.1,0.030
G. K-12 / 3501 +,ESSEX,250,BELLEVILLE TOWN,14739,0.402,0.487,0.11,0.001,0,0,13.4,84.3,182.1,0.110
G. K-12 / 3501 +,ESSEX,410,BLOOMFIELD TWP,15809,0.271,0.639,0.081,0.002,0.005,0.002,12.5,75,167.1,0.123
F. K-12 / 1801 - 3500,ESSEX,660,CALDWELL-WEST CALDWELL,16419,0.119,0.854,0.028,0,0,0,12.9,81.3,188.5,0.146
E. K-12 / 0 - 1800,ESSEX,760,CEDAR GROVE TWP,16279,0.123,0.853,0.023,0,0,0.001,13.1,67.9,139.4,0.131
G. K-12 / 3501 +,ESSEX,1210,EAST ORANGE,23811,0.772,0.083,0.14,0,0.004,0.001,10.2,67.4,168.6,0.138
J. VOC,ESSEX,1390,ESSEX CO VOC-TECH,24519,0.418,0.138,0.167,0.277,0,0,12.2,86.8,130.2,0.126
A. K-6,ESSEX,1400,ESSEX FELLS BORO,17474,0.095,0.893,0.012,0,0,0,9.4,83.4,80.7,0.120
A. K-6,ESSEX,1465,FAIRFIELD TWP,14817,0.106,0.87,0.021,0.003,0,0,13.4,71.8,188.9,0.117
F. K-12 / 1801 - 3500,ESSEX,1750,GLEN RIDGE BORO,15257,0.1,0.864,0.021,0.008,0,0.007,13.6,76.4,173.5,0.096
G. K-12 / 3501 +,ESSEX,2330,IRVINGTON TOWNSHIP,22582,0.744,0.122,0.131,0,0,0.003,11,80.5,172.8,0.081
G. K-12 / 3501 +,ESSEX,2730,LIVINGSTON TWP,18364,0.118,0.859,0.022,0.001,0,0,13.2,77.7,173.3,0.129
G. K-12 / 3501 +,ESSEX,3190,MILLBURN TWP,17860,0.108,0.862,0.017,0.004,0,0.009,12.3,77.6,171.9,0.122
G. K-12 / 3501 +,ESSEX,3310,MONTCLAIR TOWN,19665,0.133,0.816,0.031,0.001,0.02,0,11.7,65.5,178,0.143
G. K-12 / 3501 +,ESSEX,3570,NEWARK CITY,23057,0.717,0.103,0.179,0.001,0,0,14.7,34.6,79.5,0.137
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,18625,0.108,0.861,0.023,0.008,0,0,10.4,71.1,160,0.134
G. K-12 / 3501 +,ESSEX,3750,NUTLEY TOWN,15609,0.2,0.752,0.046,0.002,0,0,13.4,81.9,217.9,0.133
G. K-12 / 3501 +,ESSEX,3880,CITY OF ORANGE TWP,20445,0.737,0.101,0.161,0.001,0,0,10.1,57,136.6,0.147
A. K-6,ESSEX,4530,ROSELAND BORO,17343,0.132,0.844,0.024,0,0,0,13.3,74.4,158.1,0.103
G. K-12 / 3501 +,ESSEX,4900,SOUTH ORANGE-MAPLEWOOD,18497,0.121,0.845,0.033,0.001,0,0,12,79.1,174.9,0.119
F. K-12 / 1801 - 3500,ESSEX,5370,VERONA BORO,15594,0.129,0.848,0.019,0.004,0,0,14.5,70.5,142.9,0.110
H. 7-12 / 9-12,ESSEX,5630,WEST ESSEX REGIONAL,22217,0.12,0.856,0.014,0.002,0,0.008,11.8,82.7,98.3,0.138
G. K-12 / 3501 +,ESSEX,5680,WEST ORANGE TOWN,21228,0.141,0.823,0.034,0.002,0,0,11.2,66.7,174.5,0.164
K. CHARTER,ESSEX,6016,ADELAIDE L. SANDFORD CS,13795,0.786,0.148,0.065,0,0,0.001,12.1,242,78.1,0.021
K. CHARTER,ESSEX,6020,PRIDE ACADEMY CHARTER SCHOOL,15322,0.777,0.106,0.117,0,0,0,9.6,230,115,0.102
K. CHARTER,ESSEX,6022,BURCH CHARTER SCHOOL OF EXCELLENCE,14213,0.725,0.153,0.121,0,0,0.001,14.8,160,72.7,0.006
K. CHARTER,ESSEX,6037,NEWARK LEGACY CS,0,0,0,0,0,0,0,0,0,0,0
K. CHARTER,ESSEX,6038,VISIONS ACADEMY CS,0,0,0,0,0,0,0,0,0,0,0
K. CHARTER,ESSEX,6320,DISCOVERY CS,14745,0.735,0.148,0.117,0,0,0,17.2,0,43,0.069
