CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
3,5150,70463769,43592874,41806277,1484543,302054,11523656,8707764,6357108,5068708,7770953,4500965,0,1207892,132500,3826,TEANECK TWP,BERGEN,G. K-12 / 3501 +,3,GH,,1,BERGEN
3,5160,51431451,31415589,29789688,1188230,437671,6570546,5968148,6212596,5793824,6022430,3465478,0,1175315,646000,3687,TENAFLY BORO,BERGEN,G. K-12 / 3501 +,3,I,,1,BERGEN
3,5330,19089246,11156083,10168862,789879,197342,3220711,2728162,2268418,1825171,2300412,1259418,0,143622,83000,1352,UPPER SADDLE RIVER BORO,BERGEN,D. K-8 / 751 +,2,J,,1,BERGEN
3,5410,23625973,14443380,13827626,452240,163514,3233909,2855403,2712451,2147700,2447816,1395862,0,753565,20000,1596,WALDWICK BORO,BERGEN,E. K-12 / 0 - 1800,3,GH,,1,BERGEN
3,5430,13501092,7343535,7144960,160775,37800,2060133,1945683,1781943,1562968,1789941,780036,0,525540,12000,1218,WALLINGTON BORO,BERGEN,E. K-12 / 0 - 1800,3,B,,1,BERGEN
3,5755,42871676,22411162,21178319,677363,555480,9406476,6951145,5123527,4187101,4523420,2374953,0,1376013,169995,2705,WESTWOOD REGIONAL,BERGEN,F. K-12 / 1801 - 3500,3,GH,,1,BERGEN
3,5830,13743297,7310702,6755537,341075,214090,2075045,1472969,1997848,1581218,1788312,915311,0,563752,0,1189,WOOD-RIDGE BORO,BERGEN,E. K-12 / 0 - 1800,3,FG,,1,BERGEN
3,5880,12174713,6721928,6317627,194012,210289,2383905,2015658,1553059,1208057,1393406,451193,0,119430,0,809,WOODCLIFF LAKE BORO,BERGEN,D. K-8 / 751 +,2,J,,1,BERGEN
3,5920,32368246,19010871,17933045,949235,128591,5472712,4589319,4034761,3289178,3697642,594633,0,143826,315000,2267,WYCKOFF TWP,BERGEN,D. K-8 / 751 +,2,I,,1,BERGEN
5,200,2091707,1226228,1119228,44500,62500,357828,240128,242505,153705,250846,103046,0,14301,0,135,BASS RIVER TWP,BURLINGTON,A. K-6,1,CD,,1,BURLINGTON
5,380,4124914,2407508,2206009,111578,89921,865630,631914,450054,336254,390104,104764,0,5587,6000,320,BEVERLY CITY,BURLINGTON,B. K-8 / 0 - 400,2,B,,1,BURLINGTON
5,475,30700603,17306602,16248790,650664,407148,4668750,4007257,3092388,2563058,4491116,2591447,0,886733,295680,2514,BORDENTOWN REGIONAL,BURLINGTON,F. K-12 / 1801 - 3500,3,FG,,1,BURLINGTON
5,600,30364621,17266661,16278609,565770,422282,5522433,5033937,3230342,2607645,3540703,1542323,0,735439,30000,1807,BURLINGTON CITY,BURLINGTON,E. K-12 / 0 - 1800,3,B,1,1,BURLINGTON
5,605,40906426,24950354,24180981,495964,273409,7508579,7246953,3679607,2869723,4118754,1964702,337592,208612,0,700,BURLINGTON CO SPEC SERV,BURLINGTON,I. CSSD,7,,,1,BURLINGTON
5,610,32701450,17080323,16419343,607285,53695,3456806,3298297,4212014,2922293,6340071,2739814,0,1604251,84880,2000,BURLINGTON CO VOCATIONAL,BURLINGTON,J. VOC,8,,,1,BURLINGTON
5,620,50869931,34452317,31517844,1030072,1904401,5770470,4851947,4757908,3844636,5137792,591110,0,751444,206409,4086,BURLINGTON TWP,BURLINGTON,G. K-12 / 3501 +,3,FG,,1,BURLINGTON
5,830,7103499,3948751,3823900,116651,8200,1145875,1018946,895605,693217,1081449,627711,0,7941,0,617,CHESTERFIELD TWP,BURLINGTON,A. K-6,1,GH,,1,BURLINGTON
5,840,34249537,19495446,18572646,621321,301479,5237119,3790569,3673569,3116997,3943598,1771598,0,1525167,76750,2368,CINNAMINSON TWP,BURLINGTON,F. K-12 / 1801 - 3500,3,FG,,1,BURLINGTON
5,1030,5535400,3151749,2951155,133399,67195,926769,658619,577895,414684,838592,401988,1000,37030,30000,397,DELANCO TWP,BURLINGTON,B. K-8 / 0 - 400,2,CD,,1,BURLINGTON
5,1060,34498129,19948485,18437776,919915,590794,5263455,4602970,3549949,2614961,4764232,1010860,0,954787,68300,2918,DELRAN TWP,BURLINGTON,F. K-12 / 1801 - 3500,3,FG,,1,BURLINGTON
5,1250,8264478,5406369,5346131,51238,9000,1038031,902831,994047,899553,782392,446832,0,43639,0,637,EASTAMPTON TWP,BURLINGTON,C. K-8 / 401 - 750,2,FG,,1,BURLINGTON
5,1280,10993794,6671437,6462083,114281,95073,1664188,1382486,1375837,1030636,1156441,648751,0,97329,109000,900,EDGEWATER PARK TWP,BURLINGTON,D. K-8 / 751 +,2,DE,,1,BURLINGTON
5,1420,61037651,38669667,37630423,626685,412559,8609548,7089151,5837854,5067971,7039686,4157985,0,356264,142950,4732,EVESHAM TWP,BURLINGTON,D. K-8 / 751 +,2,I,,1,BURLINGTON
5,1520,20264478,11694049,11191807,338329,163913,2704561,2353999,2236756,1914418,3120664,1810383,0,508448,26037,1637,FLORENCE TWP,BURLINGTON,E. K-12 / 0 - 1800,3,DE,,1,BURLINGTON
5,1910,8221278,5170843,4863163,268900,38780,1195588,948763,907184,729184,842291,446683,0,100071,0,718,HAINESPORT TWP,BURLINGTON,C. K-8 / 401 - 750,2,FG,,1,BURLINGTON
5,2610,117210947,69200404,63644999,2810645,2744760,16540812,15135275,10174074,7839542,14055091,7699884,0,6739779,0,7232,LENAPE REGIONAL,BURLINGTON,H. 7-12 / 9-12,5,GH,,1,BURLINGTON
5,2850,19713308,11696439,11325697,321087,49655,2874222,2648678,2571497,2094887,2415582,1122379,0,155567,102100,1615,LUMBERTON TWP,BURLINGTON,D. K-8 / 751 +,2,FG,,1,BURLINGTON
5,2960,8890799,5263401,4897881,322128,43392,1736088,1219412,984408,768434,902510,542830,0,0,45000,738,MANSFIELD TWP,BURLINGTON,A. K-6,1,DE,,1,BURLINGTON
5,3010,28671828,17415569,16694155,575212,146202,4474618,3188586,2878963,2372150,3086385,1519422,0,671117,52386,2179,MAPLE SHADE TWP,BURLINGTON,F. K-12 / 1801 - 3500,3,CD,,1,BURLINGTON
5,3070,6577662,4255500,3927418,154023,174059,907104,736784,747808,579560,629826,314462,0,37425,0,550,MEDFORD LAKES BORO,BURLINGTON,C. K-8 / 401 - 750,2,I,,1,BURLINGTON
5,3080,38096539,22613631,19813658,563624,2236349,5501025,4951865,4538456,3675093,4818611,2241460,0,81323,145625,3007,MEDFORD TWP,BURLINGTON,D. K-8 / 751 +,2,I,,1,BURLINGTON
5,3360,54766814,32875517,30715077,860202,1300238,9459939,8163929,4903282,3911436,5663432,2700533,0,1657497,0,3986,MOORESTOWN TWP,BURLINGTON,G. K-12 / 3501 +,3,I,,1,BURLINGTON
5,3430,15942522,9664859,9020144,181895,462820,2022118,1910460,1818035,1486079,2192546,1366201,0,244964,6950,1028,MOUNT HOLLY TWP,BURLINGTON,D. K-8 / 751 +,2,B,,1,BURLINGTON
5,3440,55266013,36058319,35145619,675050,237650,6617070,6165564,5575412,4304572,6234946,3170835,0,239930,207000,4219,MOUNT LAUREL TWP,BURLINGTON,D. K-8 / 751 +,2,I,,1,BURLINGTON
5,3540,3286436,1935307,1783260,132163,19884,651256,442663,274389,150199,387891,177949,0,27446,48000,176,NEW HANOVER TWP,BURLINGTON,B. K-8 / 0 - 400,2,B,,1,BURLINGTON
5,3650,20773558,12617824,11918767,481971,217086,3125648,2625558,2179057,1843549,2702847,1122068,0,95185,449650,1292,NORTH HANOVER TWP,BURLINGTON,A. K-6,1,CD,,1,BURLINGTON
5,3690,26590462,14542337,13596612,492331,453394,4468503,3688564,2637205,2237766,3792335,1848813,0,1088552,210200,2023,NORTHERN BURLINGTON REG,BURLINGTON,H. 7-12 / 9-12,4,DE,,1,BURLINGTON
5,3920,12715777,7139715,6836331,212000,91384,2059657,1844487,1333450,1051282,1592265,791329,0,569432,10500,980,PALMYRA BORO,BURLINGTON,E. K-12 / 0 - 1800,3,DE,,1,BURLINGTON
5,4050,95406488,56685942,54489568,1557218,639156,17910575,14700402,8146153,6801681,10559584,6008174,0,1092839,682849,5012,PEMBERTON TWP,BURLINGTON,G. K-12 / 3501 +,3,B,1,1,BURLINGTON
5,4320,26285520,14453907,12791864,1326228,335815,3342565,2889834,3238582,2503119,3992922,1710922,0,1232514,323500,2104,RANCOCAS VALLEY REGIONAL,BURLINGTON,H. 7-12 / 9-12,5,DE,,1,BURLINGTON
