GROUP,CONAME,DIST,DISTNAME,STRAT0016,RK0016,SALT0016,RKSAL0016,STRAT0116,RK0116,SALT0116,RKSAL0116
D. K-8 / 751 +,BURLINGTON,5720,WESTAMPTON,14.2,11,56095,25,13.7,10,57318,28
D. K-8 / 751 +,CAMDEN,260,BELLMAWR BORO,14.5,7,56353,28,14.6,5,60412,46
D. K-8 / 751 +,CAMDEN,330,BERLIN BORO,15.2,3,53797,13,13.6,13,56590,21
D. K-8 / 751 +,CAMDEN,1780,GLOUCESTER TWP,14,14,60850,56,13.6,13,63150,66
D. K-8 / 751 +,CAMDEN,4590,RUNNEMEDE BORO,12.5,51,52425,10,11.8,61,55450,14
D. K-8 / 751 +,CAMDEN,5080,STRATFORD BORO,14.4,8,58635,36,13,28,56917,23
D. K-8 / 751 +,CAMDEN,5400,VOORHEES TWP,13.2,30,87185,87,13.1,23,74873,80
D. K-8 / 751 +,CAPE MAY,5340,UPPER TWP,12.9,38,60938,57,12.6,40,58173,37
D. K-8 / 751 +,CUMBERLAND,5300,UPPER DEERFIELD TWP,11.9,68,58944,39,11.1,75,57918,35
D. K-8 / 751 +,GLOUCESTER,2750,LOGAN TWP,11.8,71,63991,66,11.3,70,60380,45
D. K-8 / 751 +,HUDSON,1850,GUTTENBERG TOWN,15.7,2,49612,2,15,2,50849,4
D. K-8 / 751 +,HUNTERDON,920,CLINTON TWP,12,61,52850,12,10.7,80,51740,5
D. K-8 / 751 +,HUNTERDON,1510,FLEMINGTON-RARITAN REG,12.1,59,53818,14,11.9,57,53168,8
D. K-8 / 751 +,HUNTERDON,4350,READINGTON TWP,11.4,77,57670,34,10.8,79,55915,16
D. K-8 / 751 +,MONMOUTH,945,COLTS NECK TWP,10,87,61125,58,9.8,86,61545,54
D. K-8 / 751 +,MONMOUTH,1260,EATONTOWN BORO,10.6,82,66009,74,10.6,82,62004,57
D. K-8 / 751 +,MONMOUTH,1440,FAIR HAVEN BORO,13.8,17,51820,7,13.3,18,53530,10
D. K-8 / 751 +,MONMOUTH,1640,FREEHOLD BORO,11.9,68,49255,1,12.9,30,49378,1
D. K-8 / 751 +,MONMOUTH,1660,FREEHOLD TWP,12.8,41,52240,9,12.5,42,54625,12
D. K-8 / 751 +,MONMOUTH,2290,HOWELL TWP,13.4,25,57700,35,12.5,42,57200,26
D. K-8 / 751 +,MONMOUTH,2720,LITTLE SILVER BORO,11.7,73,54700,17,11.4,69,57200,26
