GROUP,CONAME,DIST,DISTNAME,PP18A,RK18A,PCT18A,PP28A,RK28A,PCT28A,PP38A,RK38A,PCT38A
C. K-8 / 401 - 750,BERGEN,4470,ROCHELLE PARK TWP,50,36,0.004,33,24,0.002,51,46,0.004
C. K-8 / 401 - 750,BURLINGTON,1250,EASTAMPTON TWP,8,5,0.001,10,6,0.001,12,5,0.001
C. K-8 / 401 - 750,BURLINGTON,1910,HAINESPORT TWP,101,58,0.009,73,51,0.007,70,53,0.006
C. K-8 / 401 - 750,BURLINGTON,3070,MEDFORD LAKES BORO,61,45,0.006,37,29,0.004,44,38,0.004
C. K-8 / 401 - 750,CAMDEN,190,BARRINGTON BORO,11,9,0.001,35,28,0.003,45,39,0.004
C. K-8 / 401 - 750,CAMDEN,340,BERLIN TWP,70,50,0.004,68,48,0.005,79,56,0.005
C. K-8 / 401 - 750,CAMDEN,880,CLEMENTON BORO,33,27,0.003,44,37,0.003,39,34,0.003
C. K-8 / 401 - 750,CAMDEN,2890,MAGNOLIA BORO,90,55,0.007,60,43,0.005,91,59,0.007
C. K-8 / 401 - 750,CAMDEN,3420,MOUNT EPHRAIM BORO,53,38,0.004,71,50,0.006,68,51,0.006
C. K-8 / 401 - 750,CAMDEN,4790,SOMERDALE BORO,55,39,0.005,22,16,0.002,36,28,0.003
C. K-8 / 401 - 750,CAMDEN,5900,WOODLYNNE BORO,19,15,0.002,11,8,0.001,14,6,0.001
C. K-8 / 401 - 750,CAPE MAY,1080,DENNIS TWP,55,39,0.004,43,35,0.003,33,24,0.002
C. K-8 / 401 - 750,CUMBERLAND,950,COMMERCIAL TWP,4,2,0.000,9,5,0.001,8,1,0.001
C. K-8 / 401 - 750,CUMBERLAND,1460,FAIRFIELD TWP,93,56,0.008,61,44,0.006,27,17,0.002
C. K-8 / 401 - 750,CUMBERLAND,2270,HOPEWELL TWP,6,4,0.001,5,2,0.000,8,1,0.001
C. K-8 / 401 - 750,CUMBERLAND,2570,LAWRENCE TWP,38,29,0.003,57,41,0.004,48,44,0.004
C. K-8 / 401 - 750,GLOUCESTER,1830,GREENWICH TWP,8,5,0.001,17,12,0.001,31,20,0.002
C. K-8 / 401 - 750,HUNTERDON,20,ALEXANDRIA TWP,9,7,0.001,33,24,0.002,17,12,0.001
C. K-8 / 401 - 750,HUNTERDON,370,BETHLEHEM TWP,77,51,0.005,125,61,0.008,41,35,0.003
C. K-8 / 401 - 750,HUNTERDON,910,CLINTON-GLEN GARDNER,20,19,0.001,20,14,0.002,30,18,0.002
C. K-8 / 401 - 750,HUNTERDON,1040,DELAWARE TWP,5,3,0.000,34,27,0.002,32,23,0.002
C. K-8 / 401 - 750,HUNTERDON,1160,EAST AMWELL TWP,33,27,0.003,41,33,0.003,45,39,0.003
C. K-8 / 401 - 750,HUNTERDON,2220,HOLLAND TWP,79,52,0.006,37,29,0.003,16,10,0.001
C. K-8 / 401 - 750,HUNTERDON,2450,KINGWOOD TWP,19,15,0.001,31,23,0.002,35,25,0.002
C. K-8 / 401 - 750,HUNTERDON,2600,LEBANON TWP,19,15,0.001,28,21,0.002,,,0.000
C. K-8 / 401 - 750,HUNTERDON,5180,TEWKSBURY TWP,162,62,0.012,66,46,0.005,35,25,0.002
C. K-8 / 401 - 750,HUNTERDON,5270,UNION TWP,61,45,0.004,55,40,0.004,61,49,0.004
C. K-8 / 401 - 750,MIDDLESEX,970,CRANBURY TWP,57,42,0.004,122,60,0.008,88,57,0.005
C. K-8 / 401 - 750,MIDDLESEX,2370,JAMESBURG BORO,46,32,0.004,43,35,0.004,25,15,0.003
C. K-8 / 401 - 750,MIDDLESEX,3220,MILLTOWN BORO,65,47,0.006,27,20,0.002,37,29,0.003
C. K-8 / 401 - 750,MONMOUTH,270,BELMAR BORO,52,37,0.004,25,18,0.002,30,18,0.002
C. K-8 / 401 - 750,MONMOUTH,560,BRIELLE BORO,24,23,0.002,39,31,0.004,49,45,0.004
C. K-8 / 401 - 750,MONMOUTH,3830,OCEANPORT BORO,46,32,0.004,44,37,0.003,31,20,0.002
C. K-8 / 401 - 750,MONMOUTH,4770,SHREWSBURY BORO,360,63,0.027,173,62,0.014,125,63,0.009
C. K-8 / 401 - 750,MONMOUTH,5230,UNION BEACH,22,21,0.002,33,24,0.003,47,41,0.004
C. K-8 / 401 - 750,MONMOUTH,5640,WEST LONG BRANCH BORO,65,47,0.005,106,59,0.008,101,60,0.007
C. K-8 / 401 - 750,MORRIS,460,BOONTON TWP,23,22,0.002,4,1,0.000,37,29,0.003
C. K-8 / 401 - 750,MORRIS,3090,MENDHAM BORO,153,61,0.012,26,19,0.002,42,37,0.004
C. K-8 / 401 - 750,MORRIS,3380,MORRIS PLAINS BORO,59,44,0.004,87,54,0.007,75,55,0.006
C. K-8 / 401 - 750,MORRIS,4480,ROCKAWAY BORO,14,11,0.001,12,10,0.001,15,7,0.001
C. K-8 / 401 - 750,OCEAN,2500,LAKEHURST BORO,21,20,0.002,69,49,0.006,20,13,0.002
C. K-8 / 401 - 750,PASSAIC,420,BLOOMINGDALE BORO,66,49,0.005,65,45,0.004,74,54,0.005
C. K-8 / 401 - 750,PASSAIC,3640,NORTH HALEDON BORO,47,34,0.005,51,39,0.005,41,35,0.004
C. K-8 / 401 - 750,SALEM,60,ALLOWAY TWP,17,14,0.002,13,11,0.001,11,4,0.001
C. K-8 / 401 - 750,SOMERSET,240,BEDMINSTER TWP,101,58,0.007,89,55,0.006,58,48,0.004
C. K-8 / 401 - 750,SOMERSET,4850,SOUTH BOUND BROOK,81,54,0.006,6,3,0.001,21,14,0.002
C. K-8 / 401 - 750,SOMERSET,5540,WATCHUNG BORO,10,8,0.001,7,4,0.001,15,7,0.001
C. K-8 / 401 - 750,SUSSEX,90,ANDOVER REG,27,24,0.002,105,58,0.007,15,7,0.001
C. K-8 / 401 - 750,SUSSEX,1560,FRANKFORD TWP,2,1,0.000,11,8,0.001,9,3,0.001
C. K-8 / 401 - 750,SUSSEX,1570,FRANKLIN BORO,13,10,0.001,24,17,0.002,47,41,0.003
C. K-8 / 401 - 750,SUSSEX,1800,GREEN TWP,16,13,0.001,10,6,0.001,136,64,0.010
C. K-8 / 401 - 750,UNION,1710,GARWOOD BORO,55,39,0.005,40,32,0.004,88,57,0.009
C. K-8 / 401 - 750,WARREN,30,ALLAMUCHY TWP,43,31,0.003,82,52,0.007,38,33,0.003
D. K-8 / 751 +,,,1. State average - Operating Type K-8,37,,,37,,,37,,
D. K-8 / 751 +,,,2. State median - Operating Type K-8,37,,,35,,,37,,
D. K-8 / 751 +,,,5. State average - All operating types,38,,,37,,,36,,
D. K-8 / 751 +,,,6. State median - All operating types,32,,,31,,,34,,
D. K-8 / 751 +,ATLANTIC,10,ABSECON CITY,16,17,0.001,6,3,0.001,18,11,0.002
D. K-8 / 751 +,ATLANTIC,570,BRIGANTINE CITY,27,39,0.002,42,58,0.003,99,84,0.006
D. K-8 / 751 +,ATLANTIC,1690,GALLOWAY TWP,6,2,0.000,7,5,0.001,8,2,0.001
D. K-8 / 751 +,ATLANTIC,1940,HAMILTON TWP,45,61,0.005,30,42,0.003,25,27,0.002
D. K-8 / 751 +,ATLANTIC,2680,LINWOOD CITY,45,61,0.004,67,81,0.005,50,65,0.003
D. K-8 / 751 +,ATLANTIC,3720,NORTHFIELD CITY,57,74,0.005,48,70,0.004,47,64,0.004
D. K-8 / 751 +,ATLANTIC,4800,SOMERS POINT CITY,12,9,0.001,7,5,0.001,12,5,0.001
D. K-8 / 751 +,ATLANTIC,5350,VENTNOR CITY,29,42,0.002,38,54,0.003,25,27,0.002
D. K-8 / 751 +,BERGEN,40,ALLENDALE BORO,18,21,0.001,47,68,0.004,109,86,0.007
D. K-8 / 751 +,BERGEN,930,CLOSTER BORO,19,25,0.001,19,23,0.002,35,46,0.003
D. K-8 / 751 +,BERGEN,1230,EAST RUTHERFORD BORO,68,78,0.004,45,65,0.003,58,71,0.004
D. K-8 / 751 +,BERGEN,1470,FAIRVIEW BORO,44,60,0.004,37,53,0.004,35,46,0.004
D. K-8 / 751 +,BERGEN,1580,FRANKLIN LAKES BORO,63,77,0.004,43,60,0.003,43,61,0.002
D. K-8 / 751 +,BERGEN,2180,HILLSDALE BORO,10,6,0.001,9,8,0.001,25,27,0.002
D. K-8 / 751 +,BERGEN,2710,LITTLE FERRY BORO,153,87,0.014,107,87,0.010,52,68,0.005
D. K-8 / 751 +,BERGEN,3060,MAYWOOD BORO,54,70,0.005,29,40,0.003,60,74,0.005
D. K-8 / 751 +,BERGEN,3330,MONTVALE BORO,26,37,0.002,4,2,0.000,18,11,0.002
D. K-8 / 751 +,BERGEN,3760,OAKLAND BORO,29,42,0.002,34,49,0.003,32,41,0.002
D. K-8 / 751 +,BERGEN,3850,OLD TAPPAN BORO,55,71,0.005,52,72,0.004,89,83,0.006
D. K-8 / 751 +,BERGEN,4430,RIVER VALE TWP,31,45,0.002,52,72,0.004,35,46,0.003
D. K-8 / 751 +,BERGEN,5330,UPPER SADDLE RIVER BORO,10,6,0.001,16,17,0.001,36,49,0.003
D. K-8 / 751 +,BERGEN,5880,WOODCLIFF LAKE BORO,119,85,0.009,75,82,0.005,100,85,0.007
D. K-8 / 751 +,BERGEN,5920,WYCKOFF TWP,37,52,0.003,32,47,0.003,58,71,0.004
D. K-8 / 751 +,BURLINGTON,1280,EDGEWATER PARK TWP,18,21,0.002,23,32,0.002,20,14,0.002
D. K-8 / 751 +,BURLINGTON,1420,EVESHAM TWP,22,30,0.002,32,47,0.003,24,22,0.002
D. K-8 / 751 +,BURLINGTON,2850,LUMBERTON TWP,36,50,0.003,42,58,0.004,58,71,0.005
D. K-8 / 751 +,BURLINGTON,3080,MEDFORD TWP,16,17,0.001,20,26,0.002,15,7,0.001
D. K-8 / 751 +,BURLINGTON,3430,MOUNT HOLLY TWP,39,54,0.003,27,38,0.002,38,53,0.003
D. K-8 / 751 +,BURLINGTON,3440,MOUNT LAUREL TWP,15,14,0.001,10,9,0.001,17,8,0.001
D. K-8 / 751 +,BURLINGTON,4740,SHAMONG TWP,17,20,0.001,31,44,0.003,22,17,0.002
D. K-8 / 751 +,BURLINGTON,4930,SOUTHAMPTON TWP,16,17,0.001,13,11,0.001,18,11,0.001
D. K-8 / 751 +,BURLINGTON,5130,TABERNACLE TWP,20,27,0.002,26,36,0.002,33,42,0.002
D. K-8 / 751 +,BURLINGTON,5720,WESTAMPTON,21,28,0.002,7,5,0.001,10,4,0.001
D. K-8 / 751 +,CAMDEN,260,BELLMAWR BORO,13,10,0.001,40,55,0.004,30,37,0.003
D. K-8 / 751 +,CAMDEN,330,BERLIN BORO,52,69,0.005,26,36,0.003,41,57,0.004
D. K-8 / 751 +,CAMDEN,1780,GLOUCESTER TWP,14,12,0.001,24,33,0.002,28,35,0.002
D. K-8 / 751 +,CAMDEN,4590,RUNNEMEDE BORO,24,36,0.002,46,66,0.004,36,49,0.003
