GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,e21,E11,E31
C. K-8 / 401 - 750,OCEAN,2500,LAKEHURST BORO,12373,24,11171,16,11618,16,437,435,459
C. K-8 / 401 - 750,PASSAIC,420,BLOOMINGDALE BORO,14147,50,14423,54,15117,51,624,615,640
C. K-8 / 401 - 750,PASSAIC,3640,NORTH HALEDON BORO,10288,6,10741,14,10675,5,706,712,729
C. K-8 / 401 - 750,SALEM,60,ALLOWAY TWP,9671,2,10252,5,10621,4,431,462,437
C. K-8 / 401 - 750,SOMERSET,240,BEDMINSTER TWP,15316,60,15699,61,15517,53,580,593,599
C. K-8 / 401 - 750,SOMERSET,4850,SOUTH BOUND BROOK,13505,43,12143,23,12849,27,445,429,470
C. K-8 / 401 - 750,SOMERSET,5540,WATCHUNG BORO,12694,31,12447,29,13332,34,710,717,712
C. K-8 / 401 - 750,SUSSEX,90,ANDOVER REG,15164,58,13979,49,13710,39,653,651,649
C. K-8 / 401 - 750,SUSSEX,1560,FRANKFORD TWP,14293,53,15218,60,16140,59,594,622,579
C. K-8 / 401 - 750,SUSSEX,1570,FRANKLIN BORO,13608,46,13509,45,14090,41,509,521,527
C. K-8 / 401 - 750,SUSSEX,1800,GREEN TWP,12436,26,12202,24,13293,33,490,491,490
C. K-8 / 401 - 750,UNION,1710,GARWOOD BORO,10632,8,10641,12,10031,2,394,407,399
C. K-8 / 401 - 750,WARREN,30,ALLAMUCHY TWP,13376,41,12614,32,13642,38,417,388,420
D. K-8 / 751 +,,,1. State average - Operating Type K-8,12506,,12250,,13087,,,,
D. K-8 / 751 +,,,2. State median - Operating Type K-8,12730,,12517,,13332,,,,
D. K-8 / 751 +,,,5. State average - All operating types,13599,,13291,,13946,,,,
D. K-8 / 751 +,,,6. State median - All operating types,12935,,12774,,13352,,,,
D. K-8 / 751 +,ATLANTIC,10,ABSECON CITY,11133,15,10702,14,11119,8,849,815,858
D. K-8 / 751 +,ATLANTIC,570,BRIGANTINE CITY,15141,83,15662,86,17158,86,797,810,792
D. K-8 / 751 +,ATLANTIC,1690,GALLOWAY TWP,12834,64,11957,38,13145,47,3471,3503,3497
D. K-8 / 751 +,ATLANTIC,1940,HAMILTON TWP,9898,5,10040,8,10895,6,3209,3336,3257
D. K-8 / 751 +,ATLANTIC,2680,LINWOOD CITY,12601,57,13040,71,14205,73,904,935,906
D. K-8 / 751 +,ATLANTIC,3720,NORTHFIELD CITY,10973,11,10803,16,11552,18,1054,1066,1069
D. K-8 / 751 +,ATLANTIC,4800,SOMERS POINT CITY,11638,28,11964,39,12840,40,1053,1093,1056
D. K-8 / 751 +,ATLANTIC,5350,VENTNOR CITY,12297,47,12515,59,12065,26,949,969,1000
D. K-8 / 751 +,BERGEN,40,ALLENDALE BORO,12234,45,12249,50,14604,77,967,961,934
D. K-8 / 751 +,BERGEN,930,CLOSTER BORO,12473,55,12564,61,13553,63,1132,1147,1134
D. K-8 / 751 +,BERGEN,1230,EAST RUTHERFORD BORO,16924,87,14741,84,16402,85,756,705,738
D. K-8 / 751 +,BERGEN,1470,FAIRVIEW BORO,10350,7,8488,2,9008,2,1143,1048,1194
D. K-8 / 751 +,BERGEN,1580,FRANKLIN LAKES BORO,15668,86,16276,87,17635,87,1469,1458,1404
