GROUP,CONAME,DIST,DISTNAME,PP13,RK13,PCT13,SBA3,PP23,RK23,PCT23,SBB3,PP33,RK33,PCT33,SBC3
C. K-8 / 401 - 750,CAMDEN,880,CLEMENTON BORO,7416,33,0.572,0.909,7652,39,0.606,0.958,7709,35,0.589,0.941
C. K-8 / 401 - 750,CAMDEN,2890,MAGNOLIA BORO,7480,36,0.606,0.947,7555,38,0.606,0.970,8111,46,0.596,0.958
C. K-8 / 401 - 750,CAMDEN,3420,MOUNT EPHRAIM BORO,6731,17,0.553,0.943,6114,7,0.542,0.954,6302,8,0.514,0.931
C. K-8 / 401 - 750,CAMDEN,4790,SOMERDALE BORO,7455,35,0.623,0.969,6312,12,0.603,0.968,6595,14,0.596,0.959
C. K-8 / 401 - 750,CAMDEN,5900,WOODLYNNE BORO,5852,5,0.574,0.973,6142,8,0.593,0.975,6498,11,0.591,0.968
C. K-8 / 401 - 750,CAPE MAY,1080,DENNIS TWP,8968,60,0.589,0.956,8887,60,0.618,0.974,9635,60,0.612,0.964
C. K-8 / 401 - 750,CUMBERLAND,950,COMMERCIAL TWP,6835,19,0.580,0.941,6969,24,0.576,0.919,7036,21,0.596,0.945
C. K-8 / 401 - 750,CUMBERLAND,1460,FAIRFIELD TWP,6238,7,0.556,0.947,6567,16,0.643,0.961,7038,22,0.629,0.949
C. K-8 / 401 - 750,CUMBERLAND,2270,HOPEWELL TWP,7095,26,0.651,0.955,6620,17,0.630,0.969,7038,22,0.627,0.961
C. K-8 / 401 - 750,CUMBERLAND,2570,LAWRENCE TWP,7101,27,0.625,0.926,8075,51,0.638,0.911,8271,47,0.624,0.932
C. K-8 / 401 - 750,GLOUCESTER,1830,GREENWICH TWP,8081,50,0.525,0.948,8755,58,0.552,0.940,9527,59,0.521,0.928
C. K-8 / 401 - 750,HUNTERDON,20,ALEXANDRIA TWP,7523,39,0.555,0.905,7697,40,0.565,0.941,7737,38,0.533,0.941
C. K-8 / 401 - 750,HUNTERDON,370,BETHLEHEM TWP,7502,38,0.516,0.923,7725,43,0.521,0.933,7593,29,0.482,0.903
C. K-8 / 401 - 750,HUNTERDON,910,CLINTON-GLEN GARDNER,7867,43,0.589,0.946,7711,41,0.602,0.953,8666,51,0.596,0.940
C. K-8 / 401 - 750,HUNTERDON,1040,DELAWARE TWP,9518,63,0.667,0.972,8998,61,0.602,0.975,9124,56,0.590,0.967
C. K-8 / 401 - 750,HUNTERDON,1160,EAST AMWELL TWP,7802,41,0.609,0.937,7991,47,0.604,0.933,8370,48,0.589,0.936
C. K-8 / 401 - 750,HUNTERDON,2220,HOLLAND TWP,8516,54,0.601,0.962,8522,54,0.620,0.960,9117,55,0.622,0.973
C. K-8 / 401 - 750,HUNTERDON,2450,KINGWOOD TWP,6923,23,0.545,0.904,7365,33,0.564,0.918,7705,34,0.538,0.902
C. K-8 / 401 - 750,HUNTERDON,2600,LEBANON TWP,8768,58,0.598,0.967,8623,55,0.613,0.974,9792,63,0.602,0.958
C. K-8 / 401 - 750,HUNTERDON,5180,TEWKSBURY TWP,8170,52,0.594,0.964,8348,53,0.605,0.970,9198,57,0.589,0.966
C. K-8 / 401 - 750,HUNTERDON,5270,UNION TWP,8104,51,0.598,0.962,7808,45,0.579,0.937,9092,53,0.577,0.953
C. K-8 / 401 - 750,MIDDLESEX,970,CRANBURY TWP,9165,61,0.570,0.917,8863,59,0.557,0.911,9657,61,0.564,0.915
C. K-8 / 401 - 750,MIDDLESEX,2370,JAMESBURG BORO,6235,6,0.590,0.962,5993,6,0.619,0.967,6507,12,0.669,0.961
